Epoch,train error mean,test error mean
activation,optimization,learning rate,batch size
tanh,SGD,0.01,50
250,0.031426239758729935,0.028596341609954834
500,0.021904924884438515,0.020559078082442284
750,0.019160451367497444,0.01802489347755909
1000,0.018332447856664658,0.01770087517797947
1250,0.016734320670366287,0.016038009896874428
1500,0.015632398426532745,0.01506969053298235
1750,0.01450380776077509,0.01391429640352726
2000,0.015082063153386116,0.014857414178550243
2250,0.013842873275279999,0.013916704803705215
2500,0.013250593096017838,0.013280375860631466
