Epoch,train error mean,test error mean
activation,optimization,learning rate,batch size
sigmoid,Adam,0.005,50
10,0.175501748919487,0.17800389230251312
20,0.04244762659072876,0.05210772156715393
30,0.06107344105839729,0.07138435542583466
40,0.03246534615755081,0.04137876257300377
50,0.027574323117733,0.03524617850780487
60,0.026440871879458427,0.03228570893406868
70,0.017729666084051132,0.021937841549515724
80,0.019134413450956345,0.022311238572001457
90,0.014325781725347042,0.016208499670028687
100,0.01613166555762291,0.019772183150053024
110,0.010300185531377792,0.01062078308314085
120,0.01510572899132967,0.014302601106464863
130,0.021281182765960693,0.022526102140545845
140,0.021785764023661613,0.023914234712719917
150,0.014066170901060104,0.016019904986023903
160,0.012305517680943012,0.014356046915054321
170,0.010869890451431274,0.013888983987271786
180,0.008409974165260792,0.008478588424623013
190,0.00659309234470129,0.007076128851622343
200,0.008382690139114857,0.008358658291399479
210,0.007143774069845676,0.007268067914992571
220,0.0120030976831913,0.012778051197528839
230,0.00833999551832676,0.009546726942062378
240,0.013780727982521057,0.014019179157912731
250,0.008572173304855824,0.011312313377857208
260,0.026995807886123657,0.02930382639169693
270,0.012401217594742775,0.014424874447286129
280,0.005587429273873568,0.006270196288824081
290,0.006172355730086565,0.005946014076471329
300,0.010902149602770805,0.013530229218304157
310,0.014502618461847305,0.013892391696572304
320,0.0049683405086398125,0.0056077102199196815
330,0.007168638985604048,0.007785526104271412
340,0.0058111888356506824,0.006329669617116451
350,0.005825819447636604,0.006615702994167805
360,0.005058979149907827,0.005561755504459143
370,0.0076444111764431,0.007883574813604355
380,0.004939245525747538,0.004750473890453577
390,0.009056376293301582,0.00919120293110609
400,0.004239039029926062,0.0049206833355128765
410,0.003221772378310561,0.003440187545493245
420,0.005178575403988361,0.0058732847683131695
430,0.006091045215725899,0.007872361689805984
440,0.005425139330327511,0.005985755939036608
450,0.0030591252725571394,0.003603589255362749
460,0.007214128039777279,0.008027718402445316
470,0.004635137040168047,0.004785334225744009
480,0.015358814038336277,0.01586078479886055
490,0.004866392817348242,0.0049385493621230125
500,0.006034158170223236,0.006165237631648779
510,0.0051201339811086655,0.005805113818496466
520,0.011864984408020973,0.01188048254698515
530,0.00568122835829854,0.0061613270081579685
540,0.006172405555844307,0.006678745150566101
550,0.006993633694946766,0.007737444713711739
560,0.003458575811237097,0.004640846513211727
570,0.009515667334198952,0.009699461981654167
580,0.0030179114546626806,0.00327688897959888
590,0.00402538338676095,0.004349685274064541
600,0.0044948928989470005,0.004879469983279705
610,0.004068342503160238,0.004358975682407618
620,0.005403406918048859,0.007352834567427635
630,0.004313654266297817,0.0049313330091536045
640,0.0053904238156974316,0.005494112614542246
650,0.006619071122258902,0.006471141241490841
660,0.005840419325977564,0.005719300359487534
670,0.00545032462105155,0.006647665519267321
680,0.005111216101795435,0.006362511310726404
690,0.0034269262105226517,0.0033514148090034723
700,0.004157333634793758,0.004806539975106716
710,0.00838927086442709,0.010050552897155285
720,0.006053405348211527,0.00558073166757822
730,0.002325347624719143,0.002962528495118022
740,0.0025804771576076746,0.0031808498315513134
750,0.0060741775669157505,0.006810914725065231
760,0.005132047925144434,0.005823313258588314
770,0.005386501085013151,0.005868168082088232
780,0.003250209614634514,0.0036423031706362963
790,0.003264558967202902,0.0033662545029073954
800,0.005417184438556433,0.006490700878202915
810,0.014812045730650425,0.014686419628560543
820,0.0036519470158964396,0.0044884164817631245
830,0.007407191209495068,0.009202188812196255
840,0.004747677594423294,0.005428471602499485
850,0.003220006125047803,0.003652827115729451
860,0.007626422215253115,0.007565049454569817
870,0.004728761967271566,0.004620117601007223
880,0.002696224022656679,0.003450387390330434
890,0.002196537796407938,0.0030778569635003805
900,0.006755892653018236,0.007678044494241476
910,0.003279678290709853,0.0037107644602656364
920,0.001904141390696168,0.0022499056067317724
930,0.0056858966127038,0.005810817703604698
940,0.003374400082975626,0.004718201234936714
950,0.004304141737520695,0.004666695836931467
960,0.0037405730690807104,0.0055389306508004665
970,0.0030095241963863373,0.0030684710945934057
980,0.004335750360041857,0.00527479313313961
990,0.0039391485042870045,0.004296174272894859
1000,0.0027535806875675917,0.003559414530172944
