Epoch,train error mean,test error mean
activation,optimization,learning rate,batch size
relu,SGD,0.001,50
10,0.1683228611946106,0.13733963668346405
20,0.12540555000305176,0.0998227596282959
30,0.10357729345560074,0.08095507323741913
40,0.08753485232591629,0.06785906106233597
50,0.07979193329811096,0.06109324470162392
60,0.0717356726527214,0.055103547871112823
70,0.0672229677438736,0.05165771767497063
80,0.06110560894012451,0.04778946936130524
90,0.05872008576989174,0.04589070379734039
100,0.05614941567182541,0.04406692832708359
110,0.053420208394527435,0.04219067841768265
120,0.05094951391220093,0.040525831282138824
130,0.05027909204363823,0.039858970791101456
140,0.04842856898903847,0.03865831717848778
150,0.046706683933734894,0.037455957382917404
160,0.046209461987018585,0.037031371146440506
170,0.044637471437454224,0.03597714751958847
180,0.04320543631911278,0.034946806728839874
190,0.04233771190047264,0.0342898815870285
200,0.04149720445275307,0.033722445368766785
210,0.041017770767211914,0.0333118699491024
220,0.040167663246393204,0.03267513960599899
230,0.03908186033368111,0.03191407769918442
240,0.03888311982154846,0.03165113180875778
250,0.038174819201231,0.031177125871181488
260,0.03705758973956108,0.030437175184488297
270,0.037269335240125656,0.030386436730623245
280,0.036339353770017624,0.02979399636387825
290,0.0356767512857914,0.029360448941588402
300,0.03521474450826645,0.029034625738859177
310,0.03475237265229225,0.028690330684185028
320,0.03459758684039116,0.02843344956636429
330,0.03385653346776962,0.02802436612546444
340,0.03353406861424446,0.027736863121390343
350,0.03310956433415413,0.027433758601546288
360,0.033090781420469284,0.02733059599995613
370,0.03244001790881157,0.026961171999573708
380,0.031949207186698914,0.02663886733353138
390,0.03194078430533409,0.02653398923575878
400,0.03199731186032295,0.026461565867066383
410,0.03163560479879379,0.026205074042081833
420,0.03100724145770073,0.025845501571893692
430,0.030924666672945023,0.025738433003425598
440,0.030642012134194374,0.025551823899149895
450,0.03033820539712906,0.025322839617729187
460,0.03018813580274582,0.02517569437623024
470,0.02987762913107872,0.0249826367944479
480,0.02987455204129219,0.024923641234636307
490,0.029356176033616066,0.024599310010671616
500,0.02933698706328869,0.0245329812169075
510,0.02936709113419056,0.024497060105204582
520,0.028727414086461067,0.024097507819533348
530,0.02857900969684124,0.023981617763638496
540,0.028629519045352936,0.023976685479283333
550,0.02809740975499153,0.023669229820370674
560,0.028232000768184662,0.023656422272324562
570,0.02815057337284088,0.023575661703944206
580,0.027852041646838188,0.023388899862766266
590,0.027517693117260933,0.023156600072979927
600,0.02746821939945221,0.023084206506609917
610,0.027284646406769753,0.02295636385679245
620,0.027134757488965988,0.022827783599495888
630,0.02724660560488701,0.022850923240184784
640,0.02665066532790661,0.02251078188419342
650,0.026755407452583313,0.02250816859304905
660,0.026536710560321808,0.02234320342540741
670,0.026761211454868317,0.022438455373048782
680,0.026219403371214867,0.02210521511733532
690,0.02635899931192398,0.022166626527905464
700,0.02608494833111763,0.021935055032372475
710,0.025684567168354988,0.021761922165751457
720,0.02582705207169056,0.0217363890260458
730,0.025603558868169785,0.021603727713227272
740,0.025356736034154892,0.02143959142267704
750,0.025331895798444748,0.02142745815217495
760,0.025769297033548355,0.021645773202180862
770,0.02488982118666172,0.02113899029791355
780,0.025279810652136803,0.021284447982907295
790,0.02487967722117901,0.021031007170677185
800,0.024620624259114265,0.020896917209029198
810,0.024505868554115295,0.02082180045545101
820,0.024815160781145096,0.020943734794855118
830,0.024310247972607613,0.020661741495132446
840,0.024662259966135025,0.020759273320436478
850,0.02451534941792488,0.020692499354481697
860,0.02468680590391159,0.020796993747353554
870,0.024075400084257126,0.020431842654943466
880,0.02419651672244072,0.020492086187005043
890,0.023969002068042755,0.020343972370028496
900,0.023614972829818726,0.020173167809844017
910,0.023406369611620903,0.020070282742381096
920,0.023259200155735016,0.019978219643235207
930,0.023335782811045647,0.019969258457422256
940,0.023216979578137398,0.019888894632458687
950,0.023177815601229668,0.01986106112599373
960,0.022973937913775444,0.01975148543715477
970,0.022946616634726524,0.019679255783557892
980,0.022710129618644714,0.019588051363825798
990,0.022843725979328156,0.0196369756013155
1000,0.022941555827856064,0.01965375617146492
1010,0.022399242967367172,0.019385628402233124
1020,0.0224258154630661,0.019351394847035408
1030,0.022399941459298134,0.019316380843520164
1040,0.02235027402639389,0.019291169941425323
1050,0.022259274497628212,0.01922052539885044
1060,0.022324366495013237,0.019256656989455223
1070,0.021900340914726257,0.019037390127778053
1080,0.021904105320572853,0.01902581937611103
1090,0.021931512281298637,0.019003840163350105
1100,0.021947696805000305,0.018993012607097626
1110,0.021986160427331924,0.019028836861252785
1120,0.02168830670416355,0.01882915571331978
1130,0.021749334409832954,0.018854688853025436
1140,0.021518738940358162,0.01873081736266613
1150,0.021342827007174492,0.018648255616426468
1160,0.021483151242136955,0.018692828714847565
1170,0.021289316937327385,0.018603574484586716
1180,0.021259091794490814,0.018557485193014145
1190,0.02111758105456829,0.018490657210350037
1200,0.02102748304605484,0.01845109835267067
1210,0.02124631404876709,0.01853390969336033
1220,0.02103174477815628,0.018416306003928185
1230,0.02110137790441513,0.018413543701171875
1240,0.020920392125844955,0.0183278676122427
1250,0.021032162010669708,0.018383149057626724
1260,0.0207729022949934,0.01824243925511837
1270,0.020886734127998352,0.01826334558427334
1280,0.02085695043206215,0.018255174160003662
1290,0.020391032099723816,0.01803440786898136
1300,0.02030910924077034,0.017985688522458076
1310,0.020493416115641594,0.018040092661976814
1320,0.02054167352616787,0.01807071827352047
1330,0.020236149430274963,0.017900746315717697
1340,0.02014865167438984,0.017871664837002754
1350,0.020080816000699997,0.017828533425927162
1360,0.020029783248901367,0.017793510109186172
1370,0.019865436479449272,0.017736375331878662
1380,0.01983666978776455,0.017704758793115616
1390,0.019769316539168358,0.017666885629296303
1400,0.019903158769011497,0.017690101638436317
1410,0.01969008892774582,0.017588013783097267
1420,0.02001672051846981,0.017725899815559387
1430,0.01979096233844757,0.01759013533592224
1440,0.019630350172519684,0.017529793083667755
1450,0.019454821944236755,0.017481256276369095
1460,0.019583670422434807,0.017474407330155373
1470,0.01969599537551403,0.01750204712152481
1480,0.019441060721874237,0.01740100607275963
1490,0.019520681351423264,0.01741625741124153
1500,0.01933128759264946,0.017331138253211975
1510,0.019341811537742615,0.017298106104135513
1520,0.01922350935637951,0.017261305823922157
1530,0.019167685881257057,0.01722968928515911
1540,0.01913316734135151,0.017185647040605545
1550,0.01907236874103546,0.017148224636912346
1560,0.019296282902359962,0.017229584977030754
1570,0.019175002351403236,0.01716572977602482
1580,0.01915186457335949,0.017148783430457115
1590,0.018859541043639183,0.017024127766489983
1600,0.01904902420938015,0.017072413116693497
1610,0.018953517079353333,0.01703452691435814
