Epoch,train error mean,test error mean
activation,optimization,learning rate,batch size
sigmoid,Adam,0.001,50
10,12.625944137573242,39.550880432128906
20,11.722562789916992,36.77516555786133
30,11.140372276306152,37.96128845214844
40,12.765104293823242,43.953033447265625
50,15.435046195983887,53.18452835083008
60,14.063841819763184,48.809444427490234
70,13.239112854003906,45.87406539916992
80,10.253133773803711,36.54498291015625
90,8.569424629211426,31.249963760375977
100,6.490819931030273,24.820354461669922
110,5.6533026695251465,22.013967514038086
120,1.696462631225586,10.277068138122559
130,2.753427505493164,14.5566987991333
140,3.06607985496521,0.4989411234855652
150,2.845334053039551,2.369225263595581
160,5.751335620880127,6.548357009887695
170,3.4540278911590576,2.390000343322754
180,2.8196372985839844,7.32338285446167
190,5.738440036773682,2.626427412033081
200,9.219927787780762,14.403239250183105
210,8.964241027832031,15.8187837600708
220,5.809956073760986,7.3931193351745605
230,3.2283709049224854,1.2131295204162598
240,1.25594162940979,8.785761833190918
250,6.659135341644287,16.47085952758789
260,9.669410705566406,25.993576049804688
270,8.206830024719238,24.583539962768555
280,9.012543678283691,28.972970962524414
290,8.730795860290527,29.994253158569336
300,5.377134323120117,23.105361938476562
310,11.27983570098877,44.072147369384766
320,7.9415411949157715,36.29863739013672
330,7.63075065612793,32.54741668701172
340,0.9581759572029114,13.147954940795898
350,8.51590347290039,42.428741455078125
360,6.935068607330322,38.730533599853516
370,8.123444557189941,46.86106491088867
380,9.343649864196777,54.250083923339844
390,2.2530601024627686,35.37593460083008
400,4.760402202606201,45.78826904296875
410,6.061464786529541,56.532859802246094
420,2.1593422889709473,36.23396301269531
430,4.94542932510376,56.83657455444336
440,5.179120063781738,51.33401107788086
450,2.113874912261963,49.49338150024414
460,1.9352725744247437,59.52175521850586
470,1.6161457300186157,57.923622131347656
480,4.91306209564209,47.22386169433594
490,3.653895616531372,76.8092041015625
500,4.84279203414917,72.85454559326172
510,2.8971474170684814,50.34135437011719
520,1.4631454944610596,67.85816192626953
530,1.372666835784912,56.10618591308594
540,1.5803437232971191,71.69634246826172
550,1.6646718978881836,80.67342376708984
560,2.501476526260376,69.40780639648438
570,3.534158945083618,78.93185424804688
580,1.6443486213684082,67.84593963623047
590,2.1439197063446045,64.117431640625
600,5.056017875671387,61.30562973022461
610,3.507600784301758,89.16929626464844
620,2.5437026023864746,55.35011672973633
630,2.1851353645324707,82.1651382446289
640,5.139678478240967,50.58164978027344
650,1.5649670362472534,62.00273513793945
660,3.263485908508301,73.27979278564453
670,2.1937062740325928,46.498779296875
680,2.556464195251465,61.55510711669922
690,4.933614730834961,89.62265014648438
700,1.0030879974365234,44.58799743652344
710,4.325742721557617,49.85798263549805
720,6.972025394439697,74.92241668701172
730,1.7995669841766357,98.6588363647461
740,1.02562415599823,51.44153594970703
750,3.1112611293792725,58.31354904174805
760,3.0718300342559814,44.08085250854492
770,1.5111005306243896,46.08053207397461
780,0.7680109143257141,30.700075149536133
790,2.246873617172241,54.975364685058594
800,2.378971576690674,62.850250244140625
810,1.8626221418380737,57.664119720458984
820,1.4183205366134644,55.0479621887207
830,0.8895583748817444,34.51640701293945
840,0.7679135799407959,45.80442810058594
850,0.8342894911766052,38.23677062988281
860,1.8529258966445923,39.28544998168945
870,1.6303874254226685,51.164432525634766
880,1.166655421257019,43.00287628173828
890,0.9415514469146729,33.471923828125
900,1.4697610139846802,36.710418701171875
910,1.1642017364501953,36.09043884277344
920,0.9769869446754456,24.72237205505371
930,2.3631856441497803,38.99470138549805
940,1.210883378982544,33.01460266113281
950,0.6429358124732971,31.073535919189453
960,1.352996587753296,38.92828369140625
970,1.2674007415771484,29.081836700439453
980,1.4966957569122314,43.94264602661133
990,1.4397990703582764,52.38554000854492
1000,0.932248592376709,37.766326904296875
