Epoch,train error mean,test error mean
activation,optimization,learning rate,batch size
sigmoid,SGD,0.01,50
10,0.2569804787635803,0.2675824761390686
20,0.19330616295337677,0.1974402219057083
30,0.18165932595729828,0.18503537774085999
40,0.18307071924209595,0.18710647523403168
50,0.1860722005367279,0.18845731019973755
60,0.18089359998703003,0.1845538169145584
70,0.24183139204978943,0.2492659091949463
80,0.20546811819076538,0.20889589190483093
90,0.18748906254768372,0.18958556652069092
100,0.1856221705675125,0.18996506929397583
110,0.22626493871212006,0.23193691670894623
120,0.2012108713388443,0.20416930317878723
130,0.200919970870018,0.20375382900238037
140,0.19830353558063507,0.20090043544769287
150,0.20675459504127502,0.2101450264453888
160,0.21891437470912933,0.22392098605632782
170,0.2564556300640106,0.2654767334461212
180,0.22082006931304932,0.2259671986103058
190,0.17915165424346924,0.18231788277626038
200,0.24767892062664032,0.2583397924900055
210,0.20449566841125488,0.20778746902942657
220,0.1962539255619049,0.19878870248794556
230,0.18408651649951935,0.18615394830703735
240,0.1798056960105896,0.1823919415473938
250,0.18049483001232147,0.18288078904151917
260,0.18542346358299255,0.187422975897789
270,0.18967612087726593,0.19185924530029297
280,0.17647160589694977,0.17949582636356354
290,0.176535964012146,0.1794465184211731
300,0.20036818087100983,0.20337894558906555
310,0.2008146345615387,0.2039848417043686
320,0.1922960728406906,0.1947333961725235
330,0.1795186996459961,0.18156203627586365
340,0.18364892899990082,0.18577592074871063
350,0.20005740225315094,0.20340576767921448
360,0.21095390617847443,0.21571451425552368
370,0.16862526535987854,0.1720404177904129
380,0.25025275349617004,0.25921329855918884
390,0.20012958347797394,0.2039249688386917
400,0.1946195662021637,0.19807066023349762
410,0.16213256120681763,0.1653744876384735
420,0.16876928508281708,0.17076240479946136
430,0.15960624814033508,0.16293956339359283
440,0.18331925570964813,0.18663549423217773
450,0.14967407286167145,0.15294703841209412
460,0.154488667845726,0.15829502046108246
470,0.13875876367092133,0.14205631613731384
480,0.2212046980857849,0.2313094288110733
490,0.2181379497051239,0.22895170748233795
500,0.15380632877349854,0.1602555513381958
510,0.10425630956888199,0.11018066853284836
520,0.10322482138872147,0.10880006849765778
530,0.09153103828430176,0.09786998480558395
540,0.06402171403169632,0.07112537324428558
550,0.05663469806313515,0.06439021974802017
560,0.05158799886703491,0.06000576168298721
570,0.04754386097192764,0.05645731836557388
580,0.04617903009057045,0.05515666306018829
590,0.045496996492147446,0.05446980521082878
600,0.045394543558359146,0.05476628616452217
610,0.0479356087744236,0.05670740827918053
620,0.044357381761074066,0.05340604484081268
630,0.05634124577045441,0.06484149396419525
640,0.04447514936327934,0.053255386650562286
650,0.04427023231983185,0.053369734436273575
660,0.047832973301410675,0.056994274258613586
670,0.04937507584691048,0.05787336081266403
680,0.04861615225672722,0.057158004492521286
690,0.04950960353016853,0.05875270813703537
700,0.04404858872294426,0.0527668334543705
710,0.05103791132569313,0.059457000344991684
720,0.04734378308057785,0.05576107278466225
730,0.04591748118400574,0.05486311763525009
740,0.05009550601243973,0.05843764916062355
750,0.05596039071679115,0.06431621313095093
760,0.044327687472105026,0.052817028015851974
770,0.048050422221422195,0.056954625993967056
780,0.04420056194067001,0.05277037248015404
790,0.044234808534383774,0.053012438118457794
800,0.04888313636183739,0.0572420097887516
810,0.045214321464300156,0.053606241941452026
820,0.04353180527687073,0.052025821059942245
830,0.044989511370658875,0.05346064269542694
840,0.04344301298260689,0.05207078158855438
850,0.055089838802814484,0.06328526139259338
860,0.043482456356287,0.052172984927892685
870,0.04391440749168396,0.05262528359889984
880,0.04341761767864227,0.05189315229654312
890,0.047222744673490524,0.05547715350985527
900,0.044103510677814484,0.052506085485219955
910,0.043348707258701324,0.05184340476989746
920,0.052320562303066254,0.06102636456489563
930,0.046550203114748,0.05488528683781624
940,0.04708085581660271,0.05588536709547043
950,0.05267966538667679,0.06078198924660683
960,0.043912965804338455,0.05251505598425865
970,0.043241895735263824,0.05181585252285004
980,0.043227680027484894,0.051625270396471024
990,0.048342350870370865,0.05656075105071068
1000,0.04756922274827957,0.05638745427131653
1010,0.044403307139873505,0.05298365280032158
1020,0.04370193928480148,0.05233011767268181
1030,0.04345156252384186,0.05176439508795738
1040,0.043176766484975815,0.05152991786599159
1050,0.051694028079509735,0.059808917343616486
1060,0.04310895875096321,0.05164071172475815
1070,0.04340497404336929,0.05176030844449997
1080,0.043736688792705536,0.052103087306022644
1090,0.04309290274977684,0.051713984459638596
1100,0.045086782425642014,0.05339951440691948
1110,0.043677449226379395,0.05232400819659233
1120,0.043425727635622025,0.05192113667726517
1130,0.06786683201789856,0.07658544927835464
1140,0.043232887983322144,0.05187587812542915
1150,0.042866792529821396,0.0513034462928772
1160,0.04558144137263298,0.0538402684032917
1170,0.05296919494867325,0.06100082024931908
1180,0.04616085812449455,0.054441556334495544
1190,0.045335084199905396,0.05360851436853409
1200,0.04290160536766052,0.051323533058166504
1210,0.04282524436712265,0.05116694048047066
1220,0.042818255722522736,0.05119778960943222
1230,0.04328067600727081,0.05181577056646347
1240,0.0505516491830349,0.05865974724292755
1250,0.043312571942806244,0.05163552612066269
1260,0.04417170211672783,0.05255461856722832
1270,0.0427820086479187,0.05112188309431076
1280,0.048816803842782974,0.056980326771736145
1290,0.044101111590862274,0.052270691841840744
1300,0.043596070259809494,0.052114322781562805
1310,0.04550373926758766,0.054099489003419876
1320,0.04275856912136078,0.051244623959064484
1330,0.04665232077240944,0.05488359183073044
1340,0.046647362411022186,0.05484933778643608
1350,0.04278259724378586,0.05107610300183296
1360,0.046204276382923126,0.054419901221990585
1370,0.050190847367048264,0.05826328322291374
1380,0.04984486475586891,0.05792807415127754
1390,0.05056494101881981,0.05865643545985222
1400,0.042460549622774124,0.05081968382000923
1410,0.04310609772801399,0.05146821215748787
1420,0.042442649602890015,0.05092408135533333
1430,0.04396733641624451,0.052253566682338715
1440,0.04692482203245163,0.05561612918972969
1450,0.04305306449532509,0.05142843723297119
1460,0.04237332567572594,0.050771113485097885
1470,0.04228886216878891,0.05067255720496178
1480,0.04258859530091286,0.051025472581386566
1490,0.04435834661126137,0.052547067403793335
1500,0.04884593188762665,0.0569356270134449
1510,0.05372781306505203,0.0618508979678154
1520,0.0459589809179306,0.054260216653347015
1530,0.050630904734134674,0.05864357948303223
1540,0.0438619889318943,0.05213228613138199
1550,0.052084822207689285,0.06019336357712746
1560,0.042291950434446335,0.05073871091008186
1570,0.04216441139578819,0.05055094510316849
1580,0.04244685173034668,0.05078501254320145
1590,0.051635000854730606,0.059690266847610474
1600,0.04418972134590149,0.05263729393482208
1610,0.04644789919257164,0.0546281598508358
1620,0.055328596383333206,0.06342118978500366
1630,0.04362790286540985,0.05197736620903015
1640,0.04380654916167259,0.052258528769016266
1650,0.04241490736603737,0.05085553973913193
1660,0.04352601617574692,0.0519658699631691
1670,0.042561955749988556,0.05096342787146568
1680,0.04288933053612709,0.05129905045032501
1690,0.04519128426909447,0.053401749581098557
1700,0.04583558812737465,0.054012928158044815
1710,0.05671648308634758,0.06480962783098221
1720,0.04391610994935036,0.05222561955451965
1730,0.04493869096040726,0.05320703238248825
1740,0.04218705743551254,0.05054390802979469
1750,0.042071618139743805,0.05035656690597534
1760,0.041913218796253204,0.05027974769473076
1770,0.04329546540975571,0.05154771730303764
1780,0.042676255106925964,0.05106673017144203
1790,0.041799820959568024,0.05016660690307617
1800,0.04361832141876221,0.05208287015557289
1810,0.05314074829220772,0.061595674604177475
1820,0.04359068349003792,0.05191850662231445
1830,0.042452484369277954,0.050870511680841446
1840,0.042996179312467575,0.051334355026483536
1850,0.04333501681685448,0.051715053617954254
1860,0.04165909066796303,0.05003449320793152
1870,0.04188959673047066,0.05022813752293587
1880,0.04418234899640083,0.052486591041088104
1890,0.04258131608366966,0.05100648105144501
1900,0.04468941316008568,0.052965372800827026
1910,0.04158145934343338,0.049911435693502426
1920,0.04777638614177704,0.0563509538769722
1930,0.04737699031829834,0.05549493059515953
1940,0.043264180421829224,0.051601242274045944
1950,0.04163196310400963,0.04997515305876732
1960,0.042574960738420486,0.05099007487297058
1970,0.04936286062002182,0.057393740862607956
1980,0.04244060441851616,0.050746601074934006
1990,0.04281337931752205,0.05117188021540642
2000,0.04358389973640442,0.0519900806248188
2010,0.04176868870854378,0.05009109526872635
2020,0.041608523577451706,0.049963146448135376
2030,0.043006353080272675,0.05129137635231018
2040,0.04135432466864586,0.04977792501449585
2050,0.04213434457778931,0.05052735283970833
2060,0.043173134326934814,0.05155424773693085
2070,0.04147062078118324,0.049895115196704865
2080,0.047105588018894196,0.05525192990899086
2090,0.044909823685884476,0.0531611405313015
2100,0.04311142861843109,0.051533639430999756
2110,0.041904088109731674,0.050298839807510376
2120,0.04295843094587326,0.051256075501441956
2130,0.04228948801755905,0.05077178776264191
2140,0.05067664384841919,0.05880392715334892
2150,0.042099323123693466,0.05046144500374794
2160,0.0418698713183403,0.0502111054956913
2170,0.04119713976979256,0.049575962126255035
2180,0.045508913695812225,0.05386407673358917
2190,0.0448821559548378,0.05314499884843826
2200,0.04835079237818718,0.05650270730257034
2210,0.04905704781413078,0.057119615375995636
2220,0.04170781373977661,0.05008899047970772
2230,0.04148664325475693,0.04985363408923149
2240,0.042251866310834885,0.05069132149219513
2250,0.04157886281609535,0.04996916279196739
2260,0.04110432416200638,0.04945085197687149
2270,0.04214737191796303,0.05050798878073692
2280,0.043741900473833084,0.0520007461309433
2290,0.05282541364431381,0.06103697791695595
2300,0.041790589690208435,0.050167910754680634
2310,0.0417349748313427,0.05011076480150223
2320,0.044230081140995026,0.052757252007722855
2330,0.04442675784230232,0.0526304729282856
2340,0.04266803339123726,0.051072701811790466
2350,0.044395316392183304,0.05292990803718567
2360,0.04928373545408249,0.057349976152181625
2370,0.048010021448135376,0.05612413212656975
2380,0.04438646510243416,0.05285951495170593
2390,0.042456209659576416,0.05081256106495857
2400,0.04130846634507179,0.04970104992389679
2410,0.04144492745399475,0.04988236352801323
2420,0.041323840618133545,0.049746330827474594
2430,0.04229973256587982,0.05064954608678818
2440,0.040698688477277756,0.04910813271999359
2450,0.04068519175052643,0.0491316020488739
2460,0.048637475818395615,0.056761838495731354
2470,0.043488748371601105,0.05178709700703621
2480,0.043921731412410736,0.052196864038705826
2490,0.042202532291412354,0.05058595538139343
2500,0.04206269606947899,0.05042492225766182
