Epoch,train error mean,test error mean
activation,optimization,learning rate,batch size
relu,Adam,0.001,50
10,0.0031759082339704037,0.0031825676560401917
20,0.0024080213624984026,0.0025103618390858173
30,0.004559677559882402,0.004608704708516598
40,0.0024211143609136343,0.0025327582843601704
50,0.0015149663668125868,0.0016312209190800786
60,0.003896440612152219,0.0039432658813893795
70,0.002640550723299384,0.0027215713635087013
80,0.002749517560005188,0.0028250685427337885
90,0.002054458949714899,0.0020838987547904253
100,0.002662314334884286,0.0027045151218771935
110,0.002213317435234785,0.002250504679977894
120,0.0029900032095611095,0.00302306329831481
130,0.006688710302114487,0.0067154220305383205
140,0.004172386601567268,0.004119040910154581
150,0.003939299378544092,0.004049128387123346
160,0.00392213836312294,0.003974087070673704
170,0.004109008237719536,0.004141475539654493
180,0.0013644120190292597,0.001448943163268268
190,0.0015069767832756042,0.0015934208640828729
200,0.0009969378588721156,0.0010804918128997087
210,0.0036052477080374956,0.0036159793380647898
220,0.0016636928776279092,0.0017548067262396216
230,0.0009405939490534365,0.0010520356008782983
240,0.0009956882568076253,0.001073307590559125
250,0.0015183088835328817,0.0015660009812563658
260,0.0013463083887472749,0.0014223409816622734
270,0.0016711849020794034,0.001740974490530789
280,0.0015999749302864075,0.0016626763390377164
290,0.0013600699603557587,0.00141706014983356
300,0.0009836044628173113,0.0010525406105443835
310,0.000894739932846278,0.001000753021799028
320,0.0010430477559566498,0.0010911596473306417
330,0.0008773815352469683,0.0009604369988664985
340,0.0012365863658487797,0.001312991022132337
350,0.0009736584615893662,0.0010250045452266932
360,0.0046138339675962925,0.004652674309909344
370,0.001096043735742569,0.0011231108801439404
380,0.0011156998807564378,0.0011500850087031722
390,0.0009807390160858631,0.001046526711434126
400,0.003742633853107691,0.0037594835739582777
410,0.0009516541031189263,0.001034913002513349
420,0.0021190959960222244,0.0021309691946953535
430,0.001095038140192628,0.0011337777832522988
440,0.0007555943448096514,0.0007951112347654998
450,0.0007717310218140483,0.0008020077948458493
460,0.0006156366434879601,0.0006812716601416469
470,0.0007274816161952913,0.0007804991328157485
480,0.0011174703249707818,0.0012069325894117355
490,0.0008236325811594725,0.0008885021670721471
500,0.0009561512270011008,0.0010118659120053053
510,0.0009029965731315315,0.0009557558223605156
520,0.0006797189707867801,0.0007195114158093929
530,0.0010027204407379031,0.0010897458996623755
540,0.001950848731212318,0.002048112917691469
550,0.006605714559555054,0.006604622583836317
560,0.0023423871025443077,0.002372779417783022
570,0.0031303016003221273,0.003196329576894641
580,0.0008280353504233062,0.0008659390732645988
590,0.000657962285913527,0.0007240630802698433
600,0.0006267009302973747,0.0007098388159647584
610,0.0009686671546660364,0.0010342024033889174
620,0.0012202622601762414,0.0012682660017162561
630,0.0016623380361124873,0.0017189901554957032
640,0.0017133126966655254,0.0017496551154181361
650,0.0008928090101107955,0.0009546526707708836
660,0.0005671023391187191,0.0006370314513333142
670,0.0007740560104139149,0.000839955871924758
680,0.002364884130656719,0.0023460837546736
690,0.000937025819439441,0.0009625045931898057
700,0.0010710881324484944,0.0011089062318205833
710,0.0027888468466699123,0.002809488447383046
720,0.0008287510718218982,0.0009285449050366879
730,0.0008028697338886559,0.0008591358782723546
740,0.0021425182931125164,0.0021359201055020094
750,0.001390072051435709,0.001442018779926002
760,0.0004992412286810577,0.0005413201870396733
770,0.0009264803375117481,0.000968600099440664
780,0.0010112146846950054,0.0010492628207430243
790,0.0015332391485571861,0.0015589107060804963
800,0.000751074927393347,0.0008107880712486804
810,0.002029662486165762,0.0020961828995496035
820,0.0007925963145680726,0.000894088065251708
830,0.000673176720738411,0.0007426273659802973
840,0.0011041610268875957,0.0011252196272835135
850,0.0008064769208431244,0.0009186873794533312
860,0.0012676204787567258,0.0013066871324554086
870,0.0010694442316889763,0.001158874831162393
880,0.0026076780632138252,0.0025827314238995314
890,0.0012808924075216055,0.0013411624822765589
900,0.001852118643000722,0.0018511872040107846
910,0.004466812591999769,0.004530509002506733
920,0.0033327408600598574,0.0033518855925649405
930,0.000770582992117852,0.0008478692034259439
940,0.0006259409710764885,0.000709120649844408
950,0.000644784769974649,0.0007236466044560075
960,0.000993709429167211,0.0010223324643447995
970,0.001372495200484991,0.0014020665548741817
980,0.000640921643935144,0.0006982709746807814
990,0.0006857418920844793,0.0007166372379288077
1000,0.0008965131128206849,0.0009750989847816527
